"","Y","ES","GCM","BC","HM"
"1",7.76347647411668,"RCP4.5","HadGEM2-ES","BCCA","GR4J"
"2",5.95921656458188,"RCP4.5","MIROC-ESM-CHEM","BCCA","GR4J"
"3",4.34288214805144,"RCP4.5","MRI-CGCM3","BCCA","GR4J"
"4",5.73621549670511,"RCP4.5","CESM1-BGC","BCCA","GR4J"
"5",5.5555757570338,"RCP8.5","HadGEM2-ES","BCCA","GR4J"
"6",6.00794695056846,"RCP8.5","MIROC-ESM-CHEM","BCCA","GR4J"
"7",4.59477175274668,"RCP8.5","MRI-CGCM3","BCCA","GR4J"
"8",7.16216885002599,"RCP8.5","CESM1-BGC","BCCA","GR4J"
"9",7.82735654005262,"RCP4.5","HadGEM2-ES","BCSD","GR4J"
"10",5.80546756217756,"RCP4.5","MIROC-ESM-CHEM","BCSD","GR4J"
"11",4.41183283572062,"RCP4.5","MRI-CGCM3","BCSD","GR4J"
"12",5.6499894467236,"RCP4.5","CESM1-BGC","BCSD","GR4J"
"13",5.51686343548194,"RCP8.5","HadGEM2-ES","BCSD","GR4J"
"14",6.83532039752982,"RCP8.5","MIROC-ESM-CHEM","BCSD","GR4J"
"15",4.40895654990614,"RCP8.5","MRI-CGCM3","BCSD","GR4J"
"16",6.64340400761799,"RCP8.5","CESM1-BGC","BCSD","GR4J"
"17",11.949516307971,"RCP4.5","HadGEM2-ES","BCCA","Tank"
"18",9.49609498550725,"RCP4.5","MIROC-ESM-CHEM","BCCA","Tank"
"19",6.60543846594203,"RCP4.5","MRI-CGCM3","BCCA","Tank"
"20",9.04464397826087,"RCP4.5","CESM1-BGC","BCCA","Tank"
"21",8.56395882826087,"RCP8.5","HadGEM2-ES","BCCA","Tank"
"22",9.5661436173913,"RCP8.5","MIROC-ESM-CHEM","BCCA","Tank"
"23",7.14162864492754,"RCP8.5","MRI-CGCM3","BCCA","Tank"
"24",11.3835962753623,"RCP8.5","CESM1-BGC","BCCA","Tank"
"25",12.2267326173913,"RCP4.5","HadGEM2-ES","BCSD","Tank"
"26",9.21158077536232,"RCP4.5","MIROC-ESM-CHEM","BCSD","Tank"
"27",6.69152042753623,"RCP4.5","MRI-CGCM3","BCSD","Tank"
"28",8.93140820289855,"RCP4.5","CESM1-BGC","BCSD","Tank"
"29",8.56967473115942,"RCP8.5","HadGEM2-ES","BCSD","Tank"
"30",11.0906951101449,"RCP8.5","MIROC-ESM-CHEM","BCSD","Tank"
"31",6.82314863768116,"RCP8.5","MRI-CGCM3","BCSD","Tank"
"32",10.5467201753623,"RCP8.5","CESM1-BGC","BCSD","Tank"
